carrier,strength
1,-130
2,-120
3,-45
1,-135
2,-130
3,-50
1,-135
2,-145
3,-50
1,-130
2,-145
3,-45
1,-134
2,-138
3,-51
1,-146
2,-145
3,-52
1,-131
2,-146
3,-53
1,-132
2,-134
3,-46
1,-134
2,-125
3,-54
1,-127
2,-139
3,-53
1,-122
2,-134
3,-61
1,-123
2,-133
3,-57
1,-123
2,-139
3,-51
1,-133
2,-140
3,-51
1,-134
2,-136
3,-62
1,-141
2,-138
3,-63
1,-139
2,-148
3,-49
1,-141
2,-138
3,-49
1,-113
2,-127
3,-130
2,-120
3,-45
1,-135
2,-130
3,-50
1,-135
2,-145
3,-50
1,-130
2,-145
3,-45
1,-134
2,-138
3,-51
1,-146
2,-145
3,-52
1,-131
2,-146
3,-53
1,-132
2,-134
3,-46
1,-134
2,-125
3,-54
1,-127
2,-139
3,-53
1,-122
2,-134
3,-61
1,-123
2,-133
3,-57
1,-123
2,-139
3,-51
1,-133
2,-140
3,-51
1,-134
2,-136
3,-62
1,-141
2,-138
3,-63
1,-139
2,-148
3,-49
1,-141
2,-138
3,-49
1,-113
2,-127
3,-49
1,-130
2,-120
3,-45
1,-135
2,-130
3,-50
1,-135
2,-145
3,-50
1,-130
2,-145
3,-45
1,-134
2,-138
3,-51
1,-146
2,-145
3,-52
1,-131
2,-146
3,-53
1,-132
2,-134
3,-46
1,-134
2,-125
3,-54
1,-127
2,-139
3,-53
1,-122
2,-134
3,-61
1,-123
2,-133
3,-57
1,-123
2,-139
3,-51
1,-133
2,-140
3,-51
1,-134
2,-136
3,-62
1,-141
2,-138
3,-63
1,-139
2,-148
3,-49
1,-141
2,-138
3,-49
1,-113
2,-127
3,-49
